50	50	50	50	63	50	50	50	50	50	50	63	50	50	50	50	50	63	50	50	50	50	50	50	50	63	50	50	50	50	50	50	63	50	50	50	50	50	50	50	50	63	50	50	50	50	50	50	63	50	50	50	50	50	63	50	50	50	50	50
50	63	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	63	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	63	50	50	50	50	50	50	50	50	50	50	50	50	50	50	63
50	50	50	50	50	50	50	50	63	50	50	50	50	50	50	63	50	50	50	50	50	50	50	50	63	50	50	50	50	63	50	50	50	50	63	50	50	50	63	50	50	50	50	50	50	50	50	50	50	50	50	63	50	50	50	50	63	50	50	50
50	50	50	50	50	63	50	50	50	50	50	50	63	50	50	50	50	50	63	50	50	50	50	50	50	50	63	50	50	50	50	50	50	50	50	50	50	50	50	50	63	50	50	50	50	63	50	50	50	50	50	50	50	50	50	50	50	50	50	50
50	50	63	50	50	50	50	50	50	50	63	50	50	50	63	50	50	50	50	50	50	50	63	50	50	50	50	50	50	50	63	50	50	50	50	63	50	50	50	50	50	50	50	50	50	50	50	50	50	63	50	50	50	63	50	50	50	50	50	50
50	50	50	50	50	50	50	59	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	60	59	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	60	50	50	50	50	63	50	50
50	50	50	50	50	50	50	55	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	03	54	55	03	01	01	02	01	01	02	01	03	01	02	01	01	03	05	05	05	54	50	50	50	50	50	50	50
50	50	50	50	50	50	63	55	03	03	11	13	03	03	03	03	02	01	02	02	01	01	01	01	01	01	03	01	01	01	01	03	03	54	55	01	02	03	03	03	03	03	03	01	01	03	03	02	01	14	10	05	54	50	50	63	50	50	50	50
50	50	50	50	50	50	50	55	03	11	22	15	02	51	52	53	01	03	03	03	03	03	01	02	03	01	03	01	01	01	02	01	03	54	55	01	03	02	03	01	02	01	01	02	03	01	01	03	03	05	05	05	54	50	50	50	50	50	63	50
50	50	50	50	63	50	50	55	03	14	19	18	51	62	63	55	02	02	01	02	02	02	03	01	03	02	03	01	02	03	03	01	03	54	55	01	03	01	01	01	03	01	03	03	02	01	03	01	02	03	03	03	54	63	50	50	50	50	50	50
